titulo,sinopse
Meu Ex É um Espião,"Audrey (Mila Kunis) está desiludida com o término do namoro com Drew (Justin Theroux), que a dispensou através de uma mensagem de celular. O que ela não sabe é que o agora ex-namorado é também um agente secreto, perseguido devido a um pen drive com informações sigilosas. Após receber o apoio moral de sua melhor amiga, Morgan (Kate McKinnon), Audrey é surpreendida com o súbito reaparecimento de Drew, após ameaçar queimar seus pertences. Logo ambas estão também envolvidas no mundo da espionagem, precisando ir às pressas para Viena, na Áustria."
Histórias que Nosso Cinema (Não) Contava,"Uma releitura histórica sobre o período da ditadura militar no Brasil retratada através de imagens e sons exclusivos das pornochanchadas, o gênero mais visto e produzido no país durante a década de 70. A violência do Estado, a luta armada e modernização brasileira são exemplos de situações históricas que podem ser visualizadas por meio dessas obras cinematográficas."
Gauguin - Viagem ao Taiti,"1891. O artista Paul Gauguin decide, por conta própria, se exilar no Taiti. Lá, ele espera reencontrar sua pintura livre, selvagem, longe dos códigos morais, políticos e estéticos da Europa civilizada. Mas, no local, acaba se afundando na selva, enfrentando a solidão, pobreza e a doença. E deve se reunir com Tehura, que se tornou sua esposa e o tema de suas maiores pinturas."
"Onde Está Você, João Gilberto?","Inspirado no livro HO-BA-LA-LÁ - À Procura de João Gilberto, do escritor alemão Marc Fischer, o cineasta francês Georges Gachot decide refazer os passos do autor no Rio de Janeiro em busca do recluso ícone da música brasileira. Com a ajuda de parentes, antigos amigos e conhecidos do criador da lendária batida de violão da Bossa Nova, Gachot tenta desvendar o mistério que envolve sua existência e encontrá-lo para fazer um pedido muito especial."
Missão 115,"Rio de Janeiro, maio de 1981. O DOI-CODI, órgão responsável pela repressão do exército durante a ditadura militar, organizou a ""Missão 115"", que visava ""observar"" de perto um show em homenagem ao dia Internacional do Trabalho, na casa de shows Riocentro. No entanto, a missão falhou evidenciando seu objetivo principal: realizar um atentado terrorista incriminando os grupos revolucionários de esquerda e, dessa forma, sabotar a redemocratização do país."
Sigilo Eterno,"Heloísa é uma jovem diplomata brasileira que participa da Conferência Internacional sobre o clima na cidade de Paris. Seu ex-namorado, Natan, é um cineasta que está de passagem pelo Rio de Janeiro para realizar as gravações de um filme sobre as mudanças climáticas no mundo. Os dois decidem se encontrar para conversar sobre como podem mudar o mundo."
Deus Não Está Morto - Uma Luz na Escuridão,"Em meio a um intenso debate sobre se uma universidade estadual deve ter uma igreja em seu campus, o pastor Dave (David R. White) é surpreendido com um incêndio na igreja Saint James, no qual morre seu grande amigo, o reverendo Jude (Benjamin A. Onyango). O incidente foi provocado por Adam (Mike C. Manning), que atirou um tijolo em uma janela da igreja após brigar com a namorada (Samantha Boscarino). A situação acirra o debate, ainda mais devido à proposta da universidade em comprar o terreno usado pela igreja para ali construir um centro educacional. Decidido a lutar até o fim, Dave busca ajuda com seu irmão Pearce (John Corbett), que é advogado."
Os Jovens Titãs em Ação! Nos Cinemas,"Robin, Ciborgue, Estelar, Ravena e Mutano são os Jovens Titãs. Ao perceberem que todos os super-heróis estão estrelando filmes, eles decidem se mobilizar para também ter espaço nas telonas. O líder do grupo, Robin, está determinado a ser visto como um astro e com ideias malucas e até uma canção eles partem em busca de um diretor de Hollywood, mas acabam enganados por um supervilão."
Ferrugem,"Assim como a maioria dos adolescentes, a jovem Tati (Tiffanny Dopke) ama compartilhar sua vida nas redes sociais e registrar todos os momentos. Porém, após perder o inseparável celular, ela se vê vítima da criminosa divulgação de seus registros íntimos no grupo de WhatsApp da turma do colégio, o que gera terríveis consequências."
O Candidato Honesto 2,"Após cumprir quatro dos quatrocentos anos de cadeia, João Ernesto (Leandro Hassum) é convencido a se candidatar à presidência novamente. Adorado pelo povo por ser um político que assumiu seus erros, ele vence as eleições, mas não tem vida fácil em Brasília acompanhado excessivamente de perto pelo sinistro vice Ivan Pires (Cassio Pandolfh)."
As Herdeiras,"Chela (Ana Brun) e Chiquita (Margarita Irún), herdeiras de famílias abastadas do Paraguai, vivem da venda de seus bens. Quando Chiquita acaba presa por dívidas jamais acertadas, a até então submissa e reclusa Chela precisa se virar e começa por acaso a prestar serviço para um grupo de senhoras ricas como motorista. Logo a nova realidade, e especialmente a exuberante Angy (Ana Ivanova), a quem conhece durante o trabalho, afetam os interesses, prioridades e atitudes da taxista amadora."
Yonlu,"Vinícius Gageiro (Thalles Cabral), mais conhecido como Yonlu, é um jovem poeta, músico e desenhista, fluente em quatro idiomas. Apesar de talentoso, ele decidiu dar fim à sua vida depois de ingressar em uma comunidade virtual de assistência para potenciais suicidas."
O Renascimento do Parto 3,"Com depoimentos de mães, ativistas, médicos, enfermeiras obstetras, obstetrizes e outros profissionais de saúde, o diretor Eduardo Chauvet documenta o SUS que dá certo com o Centro de Parto Humanizado Casa Angela de São Paulo e a cena obstétrica na Holanda, na Nova Zelândia e no Camboja. Traz também importantes reflexões sobre diretrizes da Organização Mundial de Saúde em relação a maternidade que frequentemente são ignoradas."
A Destruição de Bernardet,"Referência na reflexão sobre o cinema brasileiro, Jean-Claude Bernardet resolveu, aos 70 anos, se dedicar como ator em longas e curtas experimentais e ousados, dirigidos por jovens realizadores. Neste documentário, o próprio Bernardet reflete sobre as críticas recebidas por suas incursões como ator e revela suas perspectivas de vida, ao mesmo tempo em que precisa lidar com o fato de ser portador do vírus HIV."
Fica Mais Escuro Antes do Amanhecer,"Iran vive em uma região extremamente afetada pelas mudanças climáticas causadas pelo ser humano. É certo que a população caminha para assistir ao último pôr do sol, mas, após uma tragédia famíliar, ele decide lutar contra a depressão aguda que tem acometido todos."
Meu Tio e o Joelho de Porco,"Nesse documentário que mistura animação, relatos e material de arquivo, um menino passa a ter contato com o fantasma do tio depois que acha o diário do pai recém-falecido. A aparição leva o garoto para o cenário do punk paulistano e conta como a cena atual foi influenciada por uma irreverente banda do passado chamada ""Joelho de porco"", da qual ele e seus amigos faziam parte. "
"Nico, 1988","Christa Päffgen, mais conhecida pelo seu nome artístico Nico, fez muito sucesso no final da década de 60 ao lado da banda Velvet Underground. Vinte anos depois, a cantora tenta desenvolver a sua carreira solo ao mesmo tempo em que precisa lidar com os fantasmas do passado: o vício em drogas, a relação problemática com o filho e a depressão que a acompanhou durante toda a vida."
Takara - A Noite em que Nadei,"Nas montanhas cobertas de neve no Japão, toda noite um pescador parte em direção ao mercado da cidade. Em uma dessas, seu filho de 6 anos é acordado por sua partida e não consegue voltar a dormir. Logo depois, no caminho para a escola, ainda sonolento, ele se afasta do caminho e decide vaguear sozinho pela neve."
A Freira,"Presa em um convento na Romênia, uma freira comete suicídio. Para investigar o caso, o Vaticano envia um padre atormentado e uma noviça prestes a se tornar freira. Arriscando suas vidas, a fé e até suas almas, os dois descobrem um segredo profano e se confrontam com uma força do mal que toma a forma de uma freira demoníaca e transforma o convento num campo de batalha."
Alfa,"Após cair de um penhasco e se perder do seu grupo, o jovem Keda (Kodi Smit-McPhee) precisa sobreviver em meio a paisagens selvagens e encontrar o caminho de casa. Atacado por uma matilha, ele consegue ferir um dos lobos, mas decide não matar o animal. O jovem cuida dele e os dois começam uma relação de amizade."
Crô em Família,"Crodoalvo Valério, ou simplesmente Crô (Marcelo Serrado), é agora dono de uma badalada escola de etiqueta e finesse. Entretanto, apesar de toda a fama ele se sente bastante carente e vulnerável, por não ter amigos nem uma nova musa a quem dedicar a vida. É quando sua vida cruza com as de Orlando (Tonico Pereira) e Marinalva (Arlete Salles), que dizem ser seus parentes distantes. Paralelamente, Crô precisa escapar da sempre venenosa colunista Carlota Valdez (Monique Alfradique)."
Kin,"Um ex-condenado e seu irmão mais novo são forçados a fugir de um vingativo criminoso, federais e uma série de soldados de outro mundo. A única proteção que eles possuem é uma arma de antecedência misteriosa. Enquanto coisas estranhas acontecem com os irmãos, uma agente do FBI (Carrie Coon) é chamada para investigar o caso."
Marvin,"Martin Clement (Finnegan Oldfield), nascido Marvin Bijou, escapou da aldeia onde morava com o pai tirano e a mãe que o renunciava. Apaixonado por teatro, ele junta aliados para conseguir fazer com que seus sonhos virem realidade. Desde a diretora de sua escola até Isabelle Huppert, ele arrisca tudo para conseguir produzir seu show e alcançar o sucesso."
Wheely - Velozes e Divertidos,"Em Gasket City, uma cidade onde todos os moradores são carros, vive Wheely, um pequeno táxi verde e amarelo que sonha em se tornar o Rei da estrada. Para isso, ele precisará provar que é um verdadeiro herói enfrentando os carros de elite e o terrível caminhão de 18 rodas, que comanda o sindicato de carros de luxo da cidade."
A Vida em Família,"Na aldeia esquecida por Deus de Desperata, no sul da Itália, o prefeito Filippo Pisanelli tem plena certeza de que está na profissão errada. Para aliviar sua depressão, ele usa seu amor pela poesia para dar aulas acaloradas a presos, sendo esta a única coisa que o faz manter-se no posto. Porém, um encontro dele e de outros companheiros com a arte mudará suas vidas completamente."
Vende-se esta Moto,"Xéu (João Pedro Zappa) e Lidiane (Mariana Cortines) terão um filho e para montar o enxoval ela exige que ele, que está desempregado, venda sua moto. O primo Cadu (Vinicius de Oliveira) o ajuda a buscar um comprador, mas ainda nutre sentimentos profundos por Lidiane, sua ex-namorada. "
O Predador,"Uma perseguição entre naves alienígenas traz à Terra um novo predador, que acaba sendo capturado por humanos. Antes disso, ele tem seu capacete e bracelete roubados por Quinn McKenna (Boyd Holbrook), um atirador de elite que estava em missão no local onde a nave caiu. A bióloga Casey Brackett (Olivia Munn) é então chamada para examinar o ser recém-descoberto, mas ele logo consegue escapar do laboratório em que é mantido cativeiro. Ao tentar recapturá-lo Casey encontra McKenna, que está em um ônibus repleto de ex-militares com problemas. Juntos, eles buscam um meio de sobreviver e, ao mesmo tempo, proteger o pequeno Rory (Jacob Tremblay), filho de McKenna, que está com os artefatos alienígenas pegos pelo pai."
O Paciente - O Caso Tancredo Neves,"Os últimos dias da vida de Tancredo Neves (Othon Bastos), o primeiro presidente civil eleito pelo colégio eleitoral no Congresso Nacional, depois da ditadura militar. Toda a expectativa da população brasileira e a doença de Tancredo, que, após 39 dias de internação, morreu no dia 21 de abril de 1985 sem ser empossado."
Hotel Artemis,"Num futuro próximo, no subsolo de um hospital em Los Angeles, os criminosos mais sinistros da cidade recebem cuidados especiais. A enfermeira (Jodie Foster), que controla o lugar, acaba descobrindo que um de seus pacientes está lá para cometer um assassinato."
O Banquete,"Fim da década de 80, Brasil. Apesar de ter retornado à democracia, o país ainda vive uma época de extrema instabilidade política e incerteza geral. Em meio a este clima de desconfiança, uma jornalista descobre segredos podres sobre o presidente do país, que ameaçarão ainda mais o frágil equilíbrio da nação."
Limites,"Laura (Vera Farmiga) é uma mulher que busca viver uma vida tranquila e que faz o possível para ajudar as pessoas. No entanto, seus desejos e sua generosidade característica entram em conflito quando ela precisa levar Jack (Christopher Plummer), um homem que é seu pai e também é um criminoso, em uma viagem de carro do Texas até a Califórnia. Os dois e Henry, filho de Laura, que também vai junto, vão aprender da maneira mais confusa e difícil o que significa ser uma família."
Camocim,"A jovem Mayara, 23 anos, organiza uma campanha honesta durante as eleições municipais de Camocim de São Felix para eleger o candidato e colega César. A cada quatro anos, a cidade no interior de Pernambuco tem sua tranqulidade interrompida pela euforia política do evento. Durante o processo, Mayara toma consciência da dificuldade em participar de uma disputa marcada por hierarquias, compras de votos e clientelismo."
Fantástica,"O mundo animado de Middle Kingdom está em perigo, pois um grupo de ladrões de elite é enviado ao local para roubar o Tesouro Dourado, item precioso que precisa ser mantido ali. Para evitar tal ameaça, a robô Coco se junta aos irmãos Boonie Bears, ao caçador Vicky e a uma guerreira da floresta para impedir os avanços dos criminosos e salvar seu lar da destruição total."
O Homem que Parou o Tempo,"Após dedicar anos de sua vida ao estudo de física quântica, relatividade e fenômenos atemporais, João (Gabriel Pardal) decide, finalmente, botar seu ousado plano em prática: conseguir parar o tempo. Mas para realizar os experimentos que precisa, ele terá que embarcar em uma solitária viagem sem volta, que o isolará de sua família e amigos, trazendo graves consequências a seu estado mental."
Carnívoras,"No início de seus trinta anos, Mona (Leïla Bekhti) tenta decolar como atriz. O tempo passa e as propostas não chegam. Com poucos recursos, ela é forçada a morar com Sam (Zita Hanrot), sua irmã mais nova. Sam é uma atriz e compartilha sua vida com Manuel (Bastien Bouillon) e seu filho. Esta é a vida que Mona cobiça tanto, Sam já não a apoia e afunda em sua neurose, deixando o lugar para a irmã mais velha existir, redefinir sua vida e suas prioridades, seja qual for o preço."
Buscando...,"Após uma jovem de 16 anos desaparecer, seu pai David Kim (John Cho) pede ajuda às autoridades locais. Sem sucesso, após 37 horas, David decide invadir o computador de sua filha para procurar pistas que possam levar ao seu paradeiro."
O Mistério do Relógio na Parede,"Lewis (Owen Vaccaro), de apenas 10 anos, acaba de perder os pais e vai morar em Michigan com o tio Jonathan Barnavelt (Jack Black). O que o jovem não tem ideia é que seu tio e a vizinha da casa ao lado, Sra. Zimmerman (Cate Blanchett), são, na verdade, feiticeiros."
22 Milhas,"Depois de ser auxiliado por uma unidade de comando tático ultrassecreta, um agente da CIA (Mark Wahlberg) tem que transportar um informante da Indonésia do centro da cidade para refúgio em um aeroporto a 22 milhas de distância."
Traffik - Liberdade Roubada,"Brea (Paula Patton) e John (Omar Epps) estão nas montanhas com amigos para um fim de semana romântico, quando acabam se deparando com uma gangue de motoqueiros. Sozinhos, eles precisam se defender do grupo, que não mede esforços para esconder segredos que abrangem o tráfico de mulheres."
"Sem Data, Sem Assinatura","Dr. Nariman, médico forense, se envolve em um acidente de carro com um motociclista. Na ocasião, o filho de 8 anos do homem se fere e Nariman se oferece para levá-lo a um hospital próximo, mas logo tem sua oferta recusada pelo pai. O problema é que, na manhã seguinte, o médico descobre que além da criança ter morrido, a morte foi considerada suspeita pela autópsia, o que indica um mistério a mais na situação."
O Retorno do Herói,"Em 1809, na França, o capitão Neuville (Jean Dujardin) é chamado para batalha, deixando a futura noiva com o coração partido. Vendo a tristeza da moça, sua irmã decide escrever cartas em seu nome para animá-la. Porém, tudo vai por água abaixo quando Neuville reaparece."
Salto no Vazio,"As memórias da viagem feita pelo casal de artistas Cavi Borges e Patrícia Niedermeier são transformados em um filme ensaio. O cenário é composto por paisagens localizadas no Brasil, Estados Unidos, Alemanha, Síria, França e Hungria, onde é registrado uma série de coreografias e outras performances criadas pelo dois."
Uma Questão Pessoal,"Milton (Luca Marinelli) é um jovem membro da Resistência Italiana que decide cruzar a região de Langhe, durante a Segunda Guerra Mundial, para investigar o paradeiro de uma antiga namorada, Fulvia (Valentina Bellè). Ao descobrir que ela possivelmente se envolveu com seu melhor amigo, Giorgio (Lorenzo Richelmy), Milton se vê envolvido com marcas do passado e tenta reencontrá-lo a fim de resolver suas questões."
A Primeira Noite de Crime,"Quando um novo partido político, o New Founding Fathers of America, ascende, é anunciado um novo experimento social. São 12 horas sem lei, em que o governo incentiva as pessoas a perderem toda e qualquer inibição. A participação não é obrigatória, mas como estímulo, 5.000 dólares é dado para quem fica na cidade, e mais prêmios para quem participa."
Um Pequeno Favor,"Stephanie (Anna Kendrick) é uma jovem mãe que divide o tempo entre a criação do filho e a dedicação ao vlog de culinária. Ela é uma pessoa solitária, que se torna fascinada pela mãe de um colega de escola de seu filho. Esta mulher, Emily (Blake Lively) é poderosa, destemida, e leva uma vida de luxo ao lado do marido. Um dia, Emily desaparece. A polícia tem dificuldades para lidar com o caso, mas Stephanie parte em busca de respostas por conta própria. No caminho, descobre que a nova amiga não era nada do que ela pensava."
PéPequeno,"Um yeti, criatura conhecida como o Abominável Homem das Neves, está indo na contramão do que todos os seus semelhantes acreditam: ele tem a certeza que os seres humanos, para eles até então um mito, realmente existem, mesmo que todos da sua espécie neguem com veemência. Mas ele não irá desistir tão fácil de provar sua tese."
Sansão,"Sansão (Taylor James) é um homem com uma força sobrenatural que recebeu um chamado divino para libertar seu povo da escravidão. Quando ele perde seu amor para um cruel príncipe filisteu, o jovem hebreu parte em uma jornada para defender seu povo, sacrificando o que for preciso para vingar seu amor, seu povo e seu Deus."
Uma Noite de 12 Anos,"1973, Uruguai. José Mujica (Antonio de la Torre), Mauricio Rosencof (Chino Darín) e Eleuterio Fernández Huidobro (Alfonso Tort) são militantes dos Tupamaros, grupo que luta contra a ditadura militar local. Eles são presos em ações distintas e encarcerados junto a outros nove companheiros, de forma que não possam sequer falar um com o outro. Ao longo dos anos, o trio busca meios de sobreviver não só à tortura, mas também ao encarceramento que fez com que ficassem completamente alheios à sociedade, sem a menor ideia se um dia seriam soltos."
O Homem Perfeito,"Diana (Luana Piovani), aos 42 anos, é uma mulher bem-sucedida, com uma carreira estruturada, culta e que mantém um casamento feliz com seu marido (Marco Luque). Ao menos, é o que ela acha - até que descobre que o seu esposo está lhe traindo com uma jovem aspirante a bailarina, de 23 anos."
O Que de Verdade Importa,"Alec Bailey é um engenheiro frustrado que vive em Londres. Ele trabalha consertando eletrodomésticos, mas o dinheiro que ganha não é suficiente para pagar as suas contas. Tudo muda quando um tio distante aparece em sua vida com uma proposta irrecusável: pagar todas as dívidas de Alec desde que ele se mude para Nova Escócia, no Canadá, por um ano. Sem muitas alternativas, o jovem aceita o acordo e inicia uma nova fase em sua vida, agora em um novo país e prestes a conhecer mais sobre sua família e a si mesmo."
Coração de Cowboy,"Lucca (Gabriel Sater) é um cantor sertanejo conhecido por suas músicas ""chicletes"" compostas a partir das demandas de sua empresária, Iolanda (Françoise Forton), e não pelos seus sentimentos e gostos musicais. Depois de um desentendimento na gravação de seu novo disco, Lucca foge da cidade grande e volta ao interior, onde ele procura inspirações para voltar a compor canções mais autênticas e, assim, se reconectar com seu pai (Jackson Antunes). Na volta, Lucca também encontra uma antiga parceira de composições e amor de infância (Thaila Ayala) com quem vai tentar reatar laços."
10 Segundos para Vencer,"Conhecido como ""Galinho de Ouro"", por ter sido eleito o maior peso galo da história do boxe, Eder Jofre é considerado um dos maiores boxeadores de todos os tempos. Nem a infância difícil no bairro do Peruche, em São Paulo, conseguiu deter Eder, que se consagrou campeão mundial em 1961, nos Estados Unidos."
Crimes em Happytime,"Phil Phillips é um ex-policial que agora trabalha como detetive particular. Após seu irmão ser assassinado, ele descobre que o responsável é um serial killer que pretende eliminar todos os integrantes do ""The Happytime Gang"", série de TV de grande sucesso nos anos 1980. Para investigar o caso, Phil é obrigado a trabalhar com sua ex-parceira Connie Edwards (Melissa McCarthy), responsável por sua expulsão da polícia, anos atrás."
A Fábrica de Nada,"Uma noite, os trabalhadores de uma fábrica de elevadores em Portugal veem as máquinas serem colocadas em furgões e levadas. Sem conseguirem impedir a ação, eles questionam os patrões, e descobrem que os equipamentos estão sendo transportados a fábricas mais baratas. A intenção é fechar o local, deixando dezenas de trabalhadores desempregados. Começa a luta do grupo para manter seus empregos, sua dignidade e questionar o sistema que permite que essa situação aconteça."
A Moça do Calendário,"Sem emprego fixo, o quarentão Inácio (André Guerreiro Lopes) trabalha como dublê de dançarino à noite e mecânico durante o dia. Quando não está nas pistas ou operando veículos, seus pensamentos galvizam para um relacionamento platônico para a bela garota que estampa o calendário da oficina."
Marcha Cega,"Durante as manifestações que ocorreram em São Paulo nos últimos anos, a Polícia Militar foi responsável por agredir violentamente, ferir e prender uma série de manifestantes. Através do uso excessivo de gás lacrimogêneo e outras técnicas duvidosas, a cidade transformou-se em um verdadeiro campo de batalha e as marchas, inicialmente pacíficas, foram consumidas pela violência derivada das forças policiais."
Venom,"San Francisco, Estados Unidos. Eddie Brock (Tom Hardy) é um jornalista investigativo, que tem um quadro próprio em uma emissora local. Um dia, ele é escalado para entrevistar Carlton Drake (Riz Ahmed), o criador da Fundação Vida, que tem investido bastante em missões espaciais de forma a encontrar possíveis usos medicinais para a humanidade. Após acessar um documento sigiloso enviado à sua namorada, a advogada Anne Weying (Michelle Williams), Brock descobre que Drake tem feito experimentos científicos em humanos. Ele resolve denunciar esta situação durante a entrevista, o que faz com que seja demitido. Seis meses depois, o ainda desempregado Brock é procurado pela dra. Dora Skirth (Jenny Slate) com uma denúncia: Drake estaria usando simbiontes alienígenas em testes com humanos, muitos deles mortos como cobaias."
Ponto Cego,"Em Oakland, Califórnia, o ex-presidiário Collin (Daveed Diggs) enfrenta os últimos dias de liberdade de condicional antes de acertar as suas contas com a justiça. Quando presencia uma troca de tiros envolvendo policiais, ele hesita sobre a melhor coisa a fazer e conta com a ajuda de seu amigo de infância, Miles (Rafael Casal). Contudo, o caso expõe as diferenças de pensamentos entre ambos e revela os traumas sociais de cada um."
Papillon,"Henri Charrière (Charlie Hunnam), chamado de Papillon, pequeno bandido do subúrbio de Paris da década de 30, é condenado à prisão perpétua por um crime que não cometeu. Enviado para a Ilha do Diabo, na Guiana Francesa, ele conhece Louis Dega (Rami Malek), homem que Papillon promete ajudar em troca de auxílio para escapar da prisão."
"Juliet, Nua e Crua","Annie (Rose Byrne) está presa em um relacionamento de longa data com Duncan (Chris O'Dowd), fã obsessivo do obscuro roqueiro Tucker Crowe (Ethan Hawke). Sua idolatria é tamanha que ele chega a ser mais dedicado ao ídolo do que à própria namorada, com quem vive junto há anos. Quando surge uma demo acústica de Tucker, que foi hit há 25 anos e nunca fez um segundo álbum, Annie é extremamente crítica ao material, enquanto Duncan imediatamente o venera. Após publicar um comentário negativo no site dedicado ao cantor, o próprio Tucker entra em contato com Annie, através de um e-mail onde diz que concorda totalmente com o que ela disse."
Os Invisíveis,"Após o Partido Nazista tornar oficial a perseguição ao povo judeu na Alemanha, muitos deles precisam se tornar praticamente invisíveis, entre eles a jovem órfã Hanni Lévy (Alice Dwyer); o habilidoso falsificador Cioma Schönhaus (Max Mauff); o apaixonado adolescente Eugen Friede (Aaron Altaras); e Ruth Arndt (Ruby O. Fee), que perde o contato com a família passando-se por viúva e trabalhando para um oficial alemão."
Mare Nostrum,"Roberto (Silvio Guindane) e Mitsuo (Ricardo Oshiro) são dois desconhecidos que, após uma série de coincidências, voltam para o Brasil no mesmo dia, depois de um longo tempo no exterior. Eles se encontram devido a um terreno que foi negociado por seus pais decádas atrás e decidem tentar ganhar dinheiro em cima do local. No entanto, eles entram em conflito quando começam a achar que o lote possui poderes mágicos."
Verão em Rildas,"Um grupo de estudantes universitários, moradores da cidade litorânea de Rio das Ostras, decide organizar um festival de artes no local. Durante a divulgação do evento nas redes sociais, eles são surpreendidos pela repercussão equivocada de um postagem, e as consequências do ato ultrapassam as barreiras do mundo online afetando suas vidas e rotinas."
O Futuro Adiante,"Florencia (Pilar Gamboa) e Romina (Dolores Fonzi) têm uma história de amizade que resiste ao tempo. Desde o primeiro amor até o primeiro divórcio, com desentendimentos e desafetos, as amigas atravessam diferentes etapas da vida juntas."
Nasce uma Estrela,"Jackson Maine (Bradley Cooper) é um cantor no auge da fama. Um dia, após deixar uma apresentação, ele para em um bar para beber algo. É quando conhece Ally (Lady Gaga), uma insegura cantora que ganha a vida trabalhando em um restaurante. Jackson se encanta pela mulher e seu talento, decidindo acolhê-la debaixo de suas asas. Ao mesmo tempo em que Ally ascende ao estrelato, Jackson vive uma crise pessoal e profissional devido aos problemas com o álcool."
Tudo por um Popstar,"A banda pop Slavabody Disco Disco Boys, febre entre as meninas de todo o Brasil, anuncia que irá tocar no Rio de Janeiro. Fãs de carteirinha do grupo, as adolescentes e melhores amigas Gabi (Maísa Silva), Manu (Klara Castanho) e Ritinha (Mel Maia) farão de tudo para que seus pais deixem que elas assistam ao show do grupo longe da cidade onde moram."
Goosebumps 2 - Halloween Assombrado,"Wardenclyffe, Estados Unidos, às vésperas do Halloween. Sonny (Jeremy Ray Taylor) e Sam (Caleel Harris) são grandes amigos, que encontram um livro incompleto guardado dentro de um baú, em uma casa abandonada. Ao abri-lo, eles despertam o boneco Slappy (Avery Lee Jones), que surge inesperadamente. Criação do autor R.L. Stine (Jack Black), ele usa os jovens e ainda a irmã de Sonny, Sarah (Madison Iseman), para criar sua própria família de monstros."
Cinderela e o Príncipe Secreto,"Contada por outro ponto de vista, a clássica história da Cinderela aqui não envolve amor à primeira vista ou sapatinho de cristal. Cinderela decide ir ao baile convencida por seus amigos ratos, que sonham com o banquete do palácio, e auxiliada por uma fada madrinha aprendiz. Em pleno baile o grupo descobre algo terrível e inicia uma ousada aventura para reverter o feitiço de uma terrível bruxa e desmascarar o príncipe ilegítimo."
Minha Filha,"A guarda de uma menina está sob disputa de duas mães, a de criação e a biológica que almeja tê-la de volta. No centro do conflito, Vittoria (Sara Casu) se vê obrigada a lidar com questões existenciais muito acima do seu nível de maturidade, prestes a fazer uma escolha que a afetará a sua vida para sempre."
Djon África,"A história de Miguel “Tibars” Moreira, mais conhecido como Djon África, filho de cabo-verdianos, que nasceu e cresceu em Portugal. Sem jamais ter conhecido seu pai, acaba descobrindo que ele mora em Tarrafal, e decide aventurar-se além-mar, mesmo sem muitas pistas, à sua procura."
Um Dia,"Anna (Zsófia Szamosi) é mãe de três filhos, casada e trabalhadora. Sempre correndo contra o tempo para conseguir cumprir todos os seus prazos e promessas, sente que seu casamento está desmoronando. Sem conseguir conciliar tudo, ela prevê o que está prestes a acontecer, sem poder fazer nada a respeito."
Amanhã Chegou,"Durante muitas décadas, sonho e consumo material foram duas coisas que sempre andaram juntas. Por mais que esta associação de pensamento ainda seja perpetuada na sociedade, hoje tenta-se desmitificar a ideia de que dinheiro sempre será poder. Enquanto a escolha do consumidor leva órgãos governamentais a destruírem culturas nativas e o meio ambiente, algumas instituições tentam fazer diferente."
O Primeiro Homem,A vida do astronauta norte-americano Neil Armstrong (Ryan Gosling) e sua jornada para se tornar o primeiro homem a andar na Lua. Os sacrifícios e custos de Neil e toda uma nação durante uma das mais perigosas missões na história das viagens espaciais.
A Casa do Medo - Incidente em Ghostland,"Pauline acaba de herdar uma casa de sua tia e então decide morar lá com suas duas filhas, Beth e Vera. Mas, logo na primeira noite, o lugar é atacado por violentos invasores e Pauline faz de tudo para proteger as crianças. Dezesseis anos depois, as meninas, agora já crescidas, voltam para a casa e se deparam com coisas estranhas."
A Justiceira,"Quando o marido e a filha são mortos a tiros diante de um parque de diversões, Riley (Jennifer Garner) acorda de um coma e passa os anos seguintes aprendendo a se tornar uma máquina de matar. No quinto aniversário da morte de sua família, ela tem como alvo todos os responsáveis: a gangue que cometeu o crime, os advogados que os libertaram e os policiais corruptos que permitiram que tudo acontecesse."
Legalize Já - Amizade Nunca Morre,"Skunk (Ícaro Silva) é um jovem músico, revoltado com a opressão e o preconceito diários sofrido pelas comunidades de baixa renda, que busca expor sua insatisfação através da música. Um dia, ao fugir da polícia, ele literalmente esbarra em Marcelo (Renato Góes), um vendedor de camisas de bandas de heavy metal. O gosto pelo mesmo estilo musical os aproxima, assim como a habilidade de Marcelo em compor letras de forte cunho social e questionador. Impulsionado por Skunk, ele adentra o universo da música e, juntos, formam a banda Planet Hemp."
A Última Abolição,"Uma retrospetiva detalhada de um momento emblemático da história do Brasil, a abolição da escravidão, apresentado de uma outra perspectiva. Ao contrário do que foi pregado por livros didáticos e outras vertentes da história oficial por muito tempo, não foi meramente a assinatura da Princesa Isabel na Lei Áurea em 13 de maio de 1888 que libertou os escravos, e tampouco tal liberdade foi um presente ou um passo na direção da mitológica democracia racial."
O Poder de Diane,"Diane (Clotilde Hesme) é uma jovem mulher perdida na vida. Entre uma festa e outra, ela decide servir como a barriga de aluguel para Thomas (Thomas Suire) e Jacques (Gregory Montel), um casal de amigos muito próximo. Durante a gestação, ela se muda para a casa dos avós no campo e conhece Fabrice (Fabrizio Rongione), um eletricista local. Enquanto ela se prepara para dar a luz, os dois iniciam um romance improvável. "
Estás me Matando Susana,"Eligio (Gael García Bernal) acorda em uma manhã e descobre que sua esposa Susana (Verónica Echegui) o deixou sem dizer uma palavra sobre seus motivos ou paradeiro. Ele decide embarcar em uma viagem da Cidade do México até uma universidade de Iowa, nos Estados Unidos, para lutar pela mulher que ama. Ao chegar, ela parece ter seguido em frente com sua vida, mas Eligio resolve usar seu charme para conquistá-la enquanto enfrenta as dificuldades de um lugar estrangeiro."
