"Codigo da obra";"Titulo Original";"Titulo no Brasil";"Ano de produc?o";"Diretor";"Raz?o Social do Requerente";"CNPJ Requerente";"Data de liberac?o p exibic?o"
"16002165";"DIARY OF A WIMPY KID: RODRICK RULES";"DIÁRIO DE UM BANANA 2: RODRICK É O CARA";"2011";"DAVID BOWERS";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"03-JUN-15"
"16002446";"GETTING OFF WITH MONIQUE";"FODENDO COM MONIQUE";"2010";"B. SKOW";"F. J. VIDEO LTDA";"53.625.075/0001-24";"03-JUN-15"
"16002419";"LA PIVELLINA";"ADORÁVEL PIVELLINA";"2009";"TIZZA COVI;RAINER FRIMMEL";"ESTAÇÃO ARTE E EVENTOS LTDA";"03.651.641/0001-02";"14-DEC-11"
"16001806";"ASS TO MOUTH 4";"AMANTES DEVASSAS 4";"2006";"JOHN STRONG";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"02-MAY-12"
"630652";"NO LUGAR ERRADO";"NO LUGAR ERRADO";"2011";"PEDRO DIÓGENES PARENTE COELHO";"VITRINE FILMES EIRELI - ME";"11.620.976/0001-83";"05-OCT-17"
"686520";"FLORES RARAS";"FLORES RARAS";"2012";"BRUNO VILLELA BARRETO BORGES";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"02-AUG-13"
"15004127";"BACHELORETTE";"QUATRO AMIGAS E UM CASAMENTO";"2012";"LESLYE HEADLAND";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"15-OCT-12"
"16001679";"À MOI SEULE";"DE VOLTA PARA CASA";"2012";"FRÉDÉRIC VIDEAU";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"24-AUG-12"
"672549";"ASTRO, UMA FÁBULA URBANA EM UM RIO DE JANEIRO MÁGICO";"ASTRO, UMA FÁBULA URBANA EM UM RIO DE JANEIRO MÁGICO";"2012";"ANA PAULA TRABULSI";"ASAS DA IMAGINAÇÃO CINEMA E COMUNICAÇÃO EIRELI";"02.319.063/0001-30";"22-OCT-12"
"16001447";"INSIDIOUS: CHAPTER 2";"SOBRENATURAL: CAPÍTULO 2";"2013";"JAMES WAN";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"24-SEP-13"
"718193";"A NAVE - UMA VIAGEM COM A JAZZ SINFÔNICA DE SÃO PAULO";"A NAVE - UMA VIAGEM COM A JAZZ SINFÔNICA DE SÃO PAULO";"2013";"LUIZ OTAVIO DE SANTI";"DRAMA FILMES LTDA.";"02.902.219/0001-01";"06-JAN-14"
"16001719";"SILVER LININGS PLAYBOOK";"O LADO BOM DA VIDA";"2012";"DAVID O. RUSSELL";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"02-JAN-13"
"13588";"PRÍNCIPE DO FOGO";"PRÍNCIPE DO FOGO";"1984";"SILVIO PIROPO DA RIN";"RACCORD PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA";"72.062.029/0001-09";"05-APR-04"
"15006666";"INCH'ALLAH";"INCH'ALLAH";"2012";"ANAÏS BARBEAU-LAVALETTE";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"29-AUG-13"
"717988";"CIDADE CINZA";"CIDADE CINZA";"2013";"GUILHERME VALIENGO";"SALA 12 PRODUÇÕES ARTÍSTICAS LTDA";"09.640.643/0001-74";"03-JUN-15"
"16005948";"LA FILLE DE MONACO";"A GAROTA DE MÔNACO";"2008";"ANNE FONTAINE";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"20-MAY-09"
"15004994";"I, ANNA";"EU, ANNA";"2012";"BARNABY SOUTHCOMBE";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"03-JUN-15"
"729344";"RIO, EU TE AMO";"RIO, EU TE AMO";"2013";"NADINE LABAKI";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"22-AUG-14"
"729344";"RIO, EU TE AMO";"RIO, EU TE AMO";"2013";"PAOLO SORRENTINO";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"22-AUG-14"
"729344";"RIO, EU TE AMO";"RIO, EU TE AMO";"2013";"JOHN TURTURRO";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"22-AUG-14"
"14025793";"MAMA";"MAMA";"2013";"ANDY MUSCHIETTI";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"04-MAR-13"
"708233";"FRANCISCO BRENNAND";"FRANCISCO BRENNAND";"2012";"MARIANA BRENNAND FORTES";"CIRCUITO CINEARTE LTDA";"01.425.583/0001-65";"04-MAR-13"
"16002285";"ROYAL OPERA HOUSE: DON QUIXOTE";"ROYAL OPERA HOUSE: DON QUIXOTE";"2013";"CARLOS ACOSTA";"CINEMARK BRASIL S.A";"00.779.721/0001-41";"16-DEC-13"
"14024446";"SAVING MR BANKS";"WALT NOS BASTIDORES DE MARY POPPINS";"2013";"JOHN HANCOCK";"THE WALT DISNEY COMPANY (BRASIL) LTDA.";"73.042.962/0001-87";"18-DEC-13"
"14023966";"SPY KIDS 2: ISLAND OF LOST DREAMS";"PEQUENOS ESPIÕES 2: A ILHA DOS SONHOS PERDIDOS";"2002";"ROBERT RODRIGUEZ";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"15-JUL-02"
"3812";"WE WERE SOLDIERS";"FOMOS HERÓIS";"2002";"RANDALL WALLACE";"CONSORCIO EUROPA";"00.284.468/0001-55";"18-MAR-03"
"15008414";"DÍAS DE PESCA";"FILHA DISTANTE";"2012";"CARLOS SORIN";" ESFERA PRODUÇÕES CULTURAIS EIRELI - EPP";"11.579.388/0001-43";"28-APR-14"
"726689";"O CASAMENTO DE GORETE";"O CASAMENTO DE GORETE";"2014";"PAULO VESPUCIO GARCIA";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"18-SEP-14"
"726926";"HERANÇAS";"HERANÇAS";"2013";"MAICON ROBERTO DEWES";"CAMINHOS DA SERRA PRODUÇÕES LTDA";"09.343.259/0001-00";"03-JUN-15"
"119247";"MAIOR AMOR DO MUNDO, O";"MAIOR AMOR DO MUNDO, O";"2006";"CARLOS JOSE FONTES DIEGUES";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"19-SEP-06"
"166710";"É PROIBIDO PROIBIR";"É PROIBIDO PROIBIR";"2006";"JORGE DURÁN";"EL DESIERTO FILMES LTDA ME";"05.617.531/0001-41";"09-MAR-07"
"16001720";"TOP MODEL";"PRAZER, DINHEIRO E SEXO";"2006";"ROY ROGERS";"F. J. VIDEO LTDA";"53.625.075/0001-24";"18-DEC-12"
"16000700";"BALLET BOLSHOI: THE LEGEND OF LOVE";"BALLET BOLSHOI:A LENDA DO AMOR";"2014";"YURI GRIGOROVICH";"UNITED CINEMAS INTERNATIONAL BRASIL LTDA.";"01.289.530/0001-64";"12-SEP-14"
"15001506";"THE PENGUINS OF MADAGASCAR";"OS PINGUINS DE MADAGASCAR";"2014";"ERIC DARNELL, SIMON J. SMITH";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"16-OCT-14"
"15390";"OBSESSÃO";"OBSESSÃO";"2004";"JOSÉ ANTONIO GASPAR RAMOS";"FALLMS DISTRIBUIÇÃO DE FITAS LTDA";"02.341.697/0001-90";"31-DEC-08"
"5888";"FÁBIO FABULOSO";"FÁBIO FABULOSO";"2004";"PEDRO CEZAR GUIMARÃES";"EBA EMPRESA BRASILEIRA DE AUDIOVISUAL S/A";"01.610.349/0001-08";"27-APR-06"
"14024246";"DIE ANOTHER DAY";"007 - UM NOVO DIA PARA MORRER";"2002";"LEE TAMAHORI";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"21-MAR-03"
"8883";"ANALYZE THAT";"A MÁFI A VOLTA AO DIVÃ";"2002";"HARAOLD RAMIS";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"20-APR-12"
"11916";"RUNAWAY JURY";"O JÚRI";"2003";"GARY FLEDER";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"04-NOV-03"
"3807";"THE TEXAS CHAINSAW MASSACRE";"O MASSACRE DA SERRA ELÉTRICA";"2003";"MARCUS NISPEL";"CONSORCIO EUROPA";"00.284.468/0001-55";"12-NOV-03"
"7630";"SEASON FIVE";"A QUINTA ESTAÇÃO";"1997";"RAFI PITTS";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"23-JAN-04"
"5859";"BAD SANTA";"PAPAI NOEL ÀS AVESSAS";"2003";"TERRY ZWIGOFF";"EBA EMPRESA BRASILEIRA DE AUDIOVISUAL S/A";"01.610.349/0001-08";"16-JAN-04"
"3794";"SPARTAN";"SPARTAN";"2004";"DAVID MAMET";"CONSORCIO EUROPA";"00.284.468/0001-55";"25-AUG-04"
"8246";"LUTHER";"LUTERO";"2003";"ERIC TILL";"VIDEOLAR S/A";"04.229.761/0001-70";"11-OCT-04"
"4849";"THE CRONICLES OF NARNIA: THE LION,THE WITCH & THE WARDROBE";"AS CRÔNICAS DE NARNIA: O LEÃO, A FEITICEIRA E O GUARDA-ROUPA";"2005";"ANDREW ADAMSON";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"25-JAN-05"
"5796";"PAPARAZZI";"PAPARAZZI";"2004";"PAUL ABASCAL";"CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE";"01.368.016/0001-14";"25-APR-05"
"8842";"THE BEAT THAT MY HEART SKIPPED";"A BATIDA QUE MEU CORAÇÃO PULOU";"2005";"JACQUES AUDIARD";"VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA";"31.179.864/0001-46";"30-JUN-05"
"7265";"SWING A MINEIRA";"SWING A MINEIRA";"2000";"V.M. JUNIOR";"INTRODUCTION SERVIÇOS DE DISTRIBUIÇÃO DE FILMES LTDA";"02.740.650/0001-07";"31-AUG-05"
"7228";"A VINGANÇA DO CAFETÃO";"A VINGANÇA DO CAFETÃO";"2001";"ROGER LEMOS";"INTRODUCTION SERVIÇOS DE DISTRIBUIÇÃO DE FILMES LTDA";"02.740.650/0001-07";"31-AUG-05"
"15057";"WINTER SOLSTICE";"SOBRE PAIS E FILHOS";"2004";"JOSH STERNFELD";"ESTAÇÃO CINEMA E CULTURA LTDA";"02.745.624/0001-63";"11-NOV-05"
"270695";"AS MENINAS";"AS MENINAS";"2005";"SANDRA WERNECK TAVARES DE SOUZA";"SANDRA WERNECK T. DE SOUZA PRODUÇOES CINEMATOGRAFICAS EIRELI.";"40.447.906/0001-73";"23-SEP-08"
"26966";"LEMMING";"LEMMING";"2005";"DOMINIK MOLL";"LPR IMPORTAÇÃO EXPORTAÇÃO E SERVIÇOS LTDA";"60.704.533/0001-86";"19-JUN-06"
"28947";"THE BOW";"O ARCO";"2005";"KIM KI-DUK";"ANTONIO FERNANDES FILMES LTDA";"02.668.665/0001-01";"14-JUL-06"
"26924";"LA GRAN FINAL";"LA GRAN FINAL";"2005";"GERARDO OLIVARES";"CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE";"01.368.016/0001-14";"03-AUG-06"
"123279";"QUATRO ETOILES (AKA FOUR STARS)";"QUATRO ETOILES (AKA FOUR STARS)";"2006";"CHRISTIAN VINCENT";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"15-SEP-06"
"132292";"SAW 3";"JOGOS MORTAIS 3";"2006";"DARREN LYNN BOUSMAN";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"18-OCT-06"
"158775";"VENUS";"VENUS";"2006";"ROGER MICHELL";"LPR IMPORTAÇÃO EXPORTAÇÃO E SERVIÇOS LTDA";"60.704.533/0001-86";"29-JAN-07"
"224578";"IDENTIFICADOS";"IDENTIFICADOS";"2005";"PAOLA BARROS DELBEN";"PAOLA BARROS DELBEN";"045.231.629-48";"08-NOV-07"
"16005895";"PRÊTE-MOI TA MAIN";"EU ACEITO";"2006";"ERIC LARTIGAU";"RIMO S.A.";"67.562.884/0001-49";"18-JUL-07"
"15002971";"DAY WATCH";"GUARDIÕES DO DIA";"2006";"TIMUR BEKMAMBETOV";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"25-OCT-07"
"227911";"ESTÔMAGO";"ESTÔMAGO";"2007";"MARCOS JOEL JORGE";"CITIZENCRANE - PRODUCOES CINEMATOGRAFICAS LTDA - ME";"03.675.713/0001-43";"07-DEC-07"
"16005558";"CARAMEL";"CARAMEL";"2007";"NADINE LABAKI";"EBA EMPRESA BRASILEIRA DE AUDIOVISUAL S/A";"01.610.349/0001-08";"17-DEC-07"
"256502";""SONHOS CONTRÁRIOS"";""SONHOS CONTRÁRIOS"";"2008";"MAURICIO ARTACHO D ALMEIDA ECA";"CARMELA CONTÉUDOS PRODUÇÕES LTDA";"02.882.274/0001-87";"10-JUN-08"
"252829";"SPIKED";"O TALISMÃ DA LUXÚRIA";"2005";"CHI CHI LARUE";"F. J. CINES LTDA";"61.574.109/0001-27";"12-MAR-08"
"262226";"LIVRE";"LIVRE";"2008";"MAURICIO ARTACHO D ALMEIDA ECA";"CARMELA CONTÉUDOS PRODUÇÕES LTDA";"02.882.274/0001-87";"10-JUN-08"
"16005904";"IN BRUGES";"NA MIRA DO CHEFE";"2008";"MARTIN MCDONAGH";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"12-NOV-08"
"314982";"MEU BRASIL";"MEU BRASIL";"2007";"DANIELA BROITMAN";"TELENEWS SERVICE LTDA";"31.553.936/0001-73";"14-OCT-08"
"384040";"CORPO DO RIO";"CORPO DO RIO";"2008";"OLIVIA GUIMARAES DE MAGALHAES CASTRO";"JAGUAR PRODUÇÕES ARTÍSTICAS LTDA. - EPP";"02.127.762/0001-89";"30-JUL-09"
"349664";"SEX CITY";"SEX CITY";"2008";"JOSE ANTONIO GASPAR RAMOS";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"31-MAR-09"
"16005541";"BURN AFTER READING";"QUEIME DEPOIS DE LER";"2008";"ETHAN COEN/ JOEL COEN";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"23-OCT-08"
"343904";"HANNAH TAKES THE STAIRS";"HANNAH SOBE AS ESCADAS";"2007";"JOE SWANBERG";"RAIN NETWORK REPRESENTAÇÃO COMERCIAL LTDA";"07.949.581/0001-51";"25-MAR-09"
"351822";"BUDAPESTE";"BUDAPESTE";"2008";"WALTER CARVALHO E SILVA";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"27-MAR-09"
"16005640";"DRAGONBALL EVOLUTION";"DRAGONBALL EVOLUTION";"2009";"JAMES WONG";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"10-MAR-09"
"394367";"SAMBA AO REDOR DO RELÓGIO/IRMÃOS DO BRASIL - SAMBA AROUND THE CLOCK/BROTHERS OF BRAZIL";"SAMBA AO REDOR DO RELÓGIO/IRMÃOS DO BRASIL - SAMBA AROUND THE CLOCK/BROTHERS OF BRAZIL";"2009";"PAULO VAINER";"GABRIELA NOGUEIRA GREEB PRODUÇÕES ME";"06.044.626/0001-86";"02-SEP-09"
"414385";"FUNK 2";"FUNK 2";"2009";"JOSE ANTONIO GASPAR RAMOS";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"07-JAN-10"
"416772";"CIRQUE DU FREAK: THE VAMPIRE'S ASSISTANT";"CIRQUE DU FREAK: O APRENDIZ DE VAMPIRO";"2009";"PAUL WEITZ";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"10-NOV-09"
"432566";"DIA DE JOGO";"DIA DE JOGO";"2009";"LÍGIA WALPER";"WALPER RUAS PRODUÇÕES LTDA";"05.456.798/0001-02";"07-AUG-15"
"440480";"THE MESSENGER";"O MENSAGEIRO";"2009";"OREN MOVERMAN";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"10-FEB-10"
"16006198";"REC 2";"REC 2";"2009";"JAUME BALAGUERO";"PLAYARTE PICTURES ENTRETENIMENTOS LTDA.";"00.943.231/0001-39";"04-MAR-10"
"447869";"400 CONTRA 1";"400 CONTRA 1";"2010";"LUIZ CARLOS PEREIRA DE SOUZA";"PLAYARTE PICTURES ENTRETENIMENTOS LTDA.";"00.943.231/0001-39";"03-JUN-15"
"447940";"NINFO MANIA";"NINFO MANIA";"2010";"LUIS ROBERTO ALVARENGA";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"03-AUG-10"
"447948";"PECADORA";"PECADORA";"2010";"LUIS ROBERTO ALVARENGA";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"27-AUG-10"
"450486";"DOCE BRASIL HOLANDÊS";"DOCE BRASIL HOLANDÊS";"2010";"MONICA SCHMIEDT";"M. SCHMIEDT PRODUÇÕES LTDA";"86.777.331/0001-58";"13-MAY-10"
"452651";"BELAIR";"BELAIR";"2009";"BRUNO BARBOSA SAFADI";"TB PRODUÇÕES LTDA";"02.342.813/0001-95";"26-NOV-10"
"452651";"BELAIR";"BELAIR";"2009";"NOA BRESSANE";"TB PRODUÇÕES LTDA";"02.342.813/0001-95";"26-NOV-10"
"543990";"REUS";"REUS";"2010";"ALEJANDRO PI";"PANDA FILMES LTDA";"04.980.287/0001-14";"30-JUL-13"
"16002213";"SMOTHERED & COVERED 4";"IMPULSOS SEXUAIS 4";"2007";"MARK WOOD";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"24-MAR-11"
"15007188";"ATTACK THE BLOCK";"ATAQUE AO PRÉDIO";"2011";"JOE CORNISH";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"03-JUN-15"
"16002169";"RESTLESS";"INQUIETOS";"2011";"GUS VAN SANT";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"03-JUN-15"
"590616";"EXTERIOR - ELA SONHOU QUE EU MORRI";"EXTERIOR - ELA SONHOU QUE EU MORRI";"2010";"MATIAS BRACHER MARIANI";"PRIMO FILMES LTDA";"06.137.016/0001-27";"05-APR-12"
"14028373";"W. E.";"W. E. - O ROMANCE DO  SÉCULO";"2011";"MADONNA";"PLAYARTE PICTURES ENTRETENIMENTOS LTDA.";"00.943.231/0001-39";"09-DEC-11"
"631888";"NA ESTRADA - ON THE ROAD";"NA ESTRADA - ON THE ROAD";"2012";"WALTER SALLES JÚNIOR";"PLAYARTE PICTURES ENTRETENIMENTOS LTDA.";"00.943.231/0001-39";"03-JUN-15"
"650290";"MENINO DO CINCO";"MENINO DO CINCO";"2012";"MARCELO MATOS DE OLIVEIRA";"VOGAL IMAGEM LTDA- ME";"07.837.887/0001-16";"28-JUN-12"
"15002823";"MOONRISE KINGDOM";"MOONRISE KINGDOM";"2012";"WES ANDERSON";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"03-JUN-15"
"15002287";"THE WATCH";"VIZINHOS IMEDIATOS DE 3º GRAU";"2012";"AKIVA SCHAFFER";"FOX FILM DO BRASIL LTDA";"33.110.420/0001-80";"12-SEP-14"
"15004124";"MAGIC MIKE";"MAGIC MIKE";"2012";"STEVEN SODERBERGH";"WMIX DISTRIBUIDORA LTDA.";"03.918.609/0001-32";"15-OCT-12"
"16001792";"WHATABOOTY 2";"QUE B... 2";"2007";"MR PETE";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"05-NOV-12"
"15006760";"NO";"NO";"2012";"PABLO LARRAÍN";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"26-NOV-12"
"730038";"O CANDIDATO HONESTO";"O CANDIDATO HONESTO";"2014";"ROBERTO SANTUCCI FILHO";"FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.";"07.616.202/0001-01";"07-DEC-18"
"26663";"ELAS GOSTAM ATRÁS VOL. 2";"ELAS GOSTAM ATRÁS VOL. 2";"2006";"M. MAX";"FALLMS DISTRIBUIÇÃO DE FITAS LTDA";"02.341.697/0001-90";"19-JAN-07"
"16001065";"THE IMMIGRANT";"ERA UMA VEZ EM NOVA YORK";"2013";"JAMES GRAY";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"05-AUG-14"
"15008427";"DU VENT DANS MES MOLLETS";"FEITO GENTE GRANDE";"2012";"CARINE TARDIEU";" ESFERA PRODUÇÕES CULTURAIS EIRELI - EPP";"11.579.388/0001-43";"05-JUN-13"
"716165";"OS DIAS COM ELE";"OS DIAS COM ELE";"2013";"MARIA CLARA TERRA ESCOBAR";"VITRINE FILMES EIRELI - ME";"11.620.976/0001-83";"05-OCT-17"
"15005285";"AIN'T THEM BODIES SAINTS";"AMOR FORA DA LEI";"2013";"DAVID LOWERY";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"03-JUN-15"
"15005289";"THE BEST OFFER";"O MELHOR LANCE";"2013";"GIUSEPPE TORNATORE";"SM DISTRIBUIDORA DE FILMES LTDA";"08.257.054/0001-49";"02-JUN-15"
"14026235";"47 RONIN";"47 RONINS";"2013";"CARL RINSCH";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"17-SEP-13"
"713699";"NABUCCO";"NABUCCO";"2013";"DANIELE ABBADO";"CINEMARK BRASIL S.A";"00.779.721/0001-41";"12-JUN-13"
"714041";"HABI, LA EXTRANJERA";"HABI, LA EXTRANJERA";"2012";"MARIA FLORENCIA ALVAREZ";"VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA";"31.179.864/0001-46";"26-SEP-13"
"15201";"BRASÍLIA 18 POR CENTO";"BRASÍLIA 18 POR CENTO";"2006";"NELSON PEREIRA DOS SANTOS";"REGINA FILMES LTDA";"42.164.699/0001-75";"10-APR-06"
"14024265";"DOGTOWN AND Z-BOYS";"DOGTOWN AND Z-BOYS";"2001";"STACY PERALTA";"IMAGEM FILMES PRODUTORA LTDA";"02.736.672/0001-95";"15-JUL-02"
"15005343";"SANTA CLAUSE 2, THE";"MEU PAPAI É NOEL 2";"2002";"MICHAEL LEMBECK";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"17-DEC-02"
"14026173";"BAD BOYS II";"BAD BOYS II";"2003";"MICHAEL BAY";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"15-JAN-03"
"726515";"TIM LOPES - HISTÓRIAS DE ARCANJO";"TIM LOPES - HISTÓRIAS DE ARCANJO";"2012";"GUILHERME DE AZEVEDO MELO";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"18-MAY-16"
"726793";"DEMOCRACIA EM PRETO E BRANCO";"DEMOCRACIA EM PRETO E BRANCO";"2014";"PEDRO ASBEG";"TV ZERO CINEMA LTDA";"03.360.320/0001-40";"17-SEP-14"
"16002069";"GISELLE";"GISELLE";"2013";"MARIUS PETIPA";"CINEMARK BRASIL S.A";"00.779.721/0001-41";"29-JAN-14"
"8817";"MADAME SATÃ";"MADAME SATÃ";"2001";"KARIM AÏNOUZ";"VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA";"31.179.864/0001-46";"09-OCT-02"
"55";"SEXO, SUOR E SAMBA";"SEXO, SUOR E SAMBA";"2004";"LENILDO MAURÍCIO DA SILVA";"FALLMS DISTRIBUIÇÃO DE FITAS LTDA";"02.341.697/0001-90";"13-JUL-06"
"15433";"SEXO NO SALÃO 2006";"SEXO NO SALÃO 2006";"2006";"J. GASPAR";"FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA";"06.987.687/0001-87";"19-NOV-08"
"15264";"RED DRAGON";"DRAGÃO VERMELHO";"2002";"BRETT RATTNER";"PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA";"27.654.722/0001-16";"16-DEC-02"
"4690";"BIG SHOT'S FUNERAL";"O FUNERAL DO CHEFÃO";"2001";"FENG XIAOGANG";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"07-JAN-03"
"8935";"KANGAROO JACK";"CANGURU JACK";"2003";"DAVID MCNALLY";"WARNER BROS. (SOUTH) INC.";"33.015.827/0001-28";"10-JUL-09"
"5809";"A MA SOEUR";"PARA MINHA IRMÃ";"2000";"KATHERINE BREILAT";"CIRCUITO CINEARTE LTDA";"01.425.583/0001-65";"21-JUL-03"
"4778";"MINDHUNTERS";"A SER DEFINIDO";"2003";"RENNY HARLIN";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"12-JAN-04"
"4807";"RADIO";"A SER DEFINIDO";"2003";"MICHAEL TOLLIN";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"29-OCT-03"
"1536";"YOSSI & JAGGER";"DELICADA RELAÇÃO";"2002";"EYTAN FOX";"ALIANCE EMPRESA DE AUDIOVISUAL EIRELI";"04.556.166/0001-40";"17-NOV-03"
"15008697";"HELLBOY";"HELLBOY";"2004";"GUILHERMO TORO";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"19-JAN-04"
"5819";"DJOMEH";"DJOMEH";"2000";"HASSAN YEKTAPANAH";"CIRCUITO CINEARTE LTDA";"01.425.583/0001-65";"16-SEP-04"
"4729";"FLIGHTPLAN";"PLANO DE VÔO";"2005";"ROBERT SCHWENTKE";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"25-JAN-05"
"1390";"HOSTAGE";"REFÉM";"2004";"FLORENT SIRI";"ACTIVITY FILMES DO BRASIL LTDA.";"04.268.162/0001-66";"05-APR-05"
"15008936";"MEMOIRS OF A GEISHA";"MEMÓRIAS DE UMA GUEIXA";"2005";"ROB MARSHALL";"COLUMBIA TRISTAR FILMES DO BRASIL LTDA";"00.979.601/0001-98";"29-APR-05"
"16005501";"ALILA";"ALILA";"2003";"AMOS GITAI";"CANNES PRODUÇÕES S/A";"72.672.017/0001-04";"11-MAY-05"
"10998";"HOTEL RWANDA";"HOTEL RUANDA";"2004";"TERRY GEORGE";"AB INTERNACIONAL ENTRETENIMENTO LTDA. (BAIXADA)";"57.695.371/0001-52";"17-MAY-05"
"7290";"HEARTS AND MINDS";"CORAÇÕES E MENTES";"1974";"PETER DAVIS";"ESTAÇÃO CINEMA E CULTURA LTDA";"02.745.624/0001-63";"15-JUN-05"
"7637";"TURTLES CAN FLY";"TARTARUGAS PODEM VOAR";"2004";"BAHMAN GHOBADI";"TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA";"03.599.148/0001-82";"22-JUL-05"
"7231";"ARREGAÇANDO BUNDAS 3";"ARREGAÇANDO BUNDAS 3";"2001";"ROGER LEMOS";"INTRODUCTION SERVIÇOS DE DISTRIBUIÇÃO DE FILMES LTDA";"02.740.650/0001-07";"31-AUG-05"
"10906";"COLMÉIA";"COLMÉIA";"2000";"WAGNER STANLAY LUZ DE MIRANDA";"ALBERTO BITELLI INTERNATIONAL FILMS LTDA - EPP";"54.881.404/0001-60";"06-SEP-05"
